"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2066675,"July 18, 2021","South Carolina",Hartsville,N/A,0,1,N/A
2066473,"July 18, 2021",California,Oakland,"300 block of 14th St",0,2,N/A
2064579,"July 16, 2021",Texas,Houston,"3800 block of Wipprecht St",0,1,N/A
2065043,"July 15, 2021",Pennsylvania,Philadelphia,"1800 block of W Susquehanna Ave",1,2,N/A
2062365,"July 14, 2021",Louisiana,"La Place (Laplace)","500 block of Fife Ln",0,1,N/A
2059612,"July 11, 2021","New York",Brooklyn,"Fulton St and Franklin Ave",0,3,N/A
2060240,"July 10, 2021",Minnesota,"Sauk Centre","36000 block of Co Rd 171",0,3,N/A
2058435,"July 9, 2021",California,"National City","500 block of T Ave",0,1,N/A
2055268,"July 6, 2021",Virginia,Suffolk,"500 block of Kissimmee Ave",0,1,N/A
2052906,"July 4, 2021",Michigan,Lansing,"3600 block of Karen St",0,1,N/A
2054449,"July 4, 2021","New York",Bronx,"Broadway and Van Cortlandt Park S",0,1,N/A
2056991,"July 4, 2021",Tennessee,Memphis,"Durham Ave",0,1,N/A
2053124,"July 4, 2021",Louisiana,Shreveport,"3800 block of Merwin St",0,1,N/A
2054967,"July 4, 2021",Texas,Houston,"6767 Bennington St",0,1,N/A
2052806,"July 4, 2021",Maryland,Annapolis,"Bens Dr",0,1,N/A
2051857,"July 3, 2021",Maryland,Annapolis,"Bens Dr",0,1,N/A
2052336,"July 3, 2021",Indiana,"South Bend","18011 Cleveland Rd",0,1,N/A
2051628,"July 3, 2021",Oklahoma,"Oklahoma City","NE 42nd St and N Bartell Rd",0,1,N/A
2050591,"July 1, 2021",Florida,Middleburg,"2500 block of Silver Moss Cir",0,1,N/A
2046486,"June 27, 2021",Colorado,Denver,"900 block of 15th St",0,1,N/A
2046467,"June 27, 2021","New York","New York (Manhattan)","1535 Broadway",0,1,N/A
2046947,"June 27, 2021",Ohio,Columbus,"5708 Forest Hills Blvd",0,1,N/A
2048383,"June 27, 2021",Kentucky,Louisville,"7510 Dunwoody Ct",0,1,N/A
2045540,"June 25, 2021",Massachusetts,Lynn,"N Common Ter",0,1,N/A
2045489,"June 25, 2021",Texas,"San Antonio","900 block of SW 36th St",0,2,N/A
2044371,"June 24, 2021",Pennsylvania,Philadelphia,"3400 block of Ridge Ave",0,1,N/A
2043630,"June 23, 2021",Alabama,"Birmingham (Ensley)","1500 block of 52nd St",0,1,N/A
2042740,"June 22, 2021",Tennessee,Nashville,"2700 block of Bullock Ave",0,1,N/A
2042777,"June 22, 2021",Florida,"Saint Petersburg","917 8th Ave S",0,1,N/A
2039776,"June 19, 2021","New York","New York (Manhattan)","E 135th St and Harlem River Dr",0,2,N/A
2039842,"June 19, 2021",Pennsylvania,Pittsburgh,"100 block of Hazlett St",0,2,N/A
2038402,"June 18, 2021",Illinois,Danville,"1000 block of Clay St",0,1,N/A
2036257,"June 16, 2021",Missouri,"Saint Louis","5100 block of Page Ave",0,2,N/A
2038030,"June 16, 2021",Louisiana,Crowley,"100 Kathy Meadows Ln",0,1,N/A
2037438,"June 15, 2021",Indiana,Hammond,"5800 block of Calumet Ave",0,1,N/A
2037011,"June 14, 2021",Ohio,Cleveland,"St Clair Ave and E 112th St",0,1,N/A
2032411,"June 12, 2021",Illinois,Champaign,"300 block of E White St",1,1,N/A
2030810,"June 10, 2021",Pennsylvania,Philadelphia,"701 N 7th St",0,2,N/A
2030884,"June 9, 2021",Georgia,Americus,"900 block of Cypress Ave",0,1,N/A
2030554,"June 8, 2021",California,Kingsburg,"1437 Ave D",0,1,N/A
2029058,"June 7, 2021",Ohio,Akron,"800 block of McKinley Ave",0,1,N/A
2028047,"June 7, 2021",Kansas,Wichita,"3625 W 13th St",0,1,N/A
2028260,"June 6, 2021",Ohio,Newcomerstown,"7300 block of Moores Hill Rd SW",0,1,N/A
2026175,"June 5, 2021",Texas,Houston,"5051 Reed Rd",0,2,N/A
2025338,"June 5, 2021",Illinois,Chicago,"4100 block of W 21st Pl",0,1,N/A
2025950,"June 4, 2021",Michigan,Kalamazoo,"N Westnedge Ave and Florence St",0,1,N/A
2025730,"June 4, 2021","New York",Bronx,"Sheridan Ave and E 172nd St",0,1,N/A
2026010,"June 4, 2021","New Jersey","New Brunswick","10 Livingston Ave",0,1,N/A
2025302,"June 3, 2021",Texas,Denton,"1610 E McKinney St",0,1,N/A
2022117,"May 31, 2021",Kansas,Wichita,"8800 block of E Harry St",0,2,N/A
2022129,"May 31, 2021",Ohio,"Cleveland (Garfield Heights)","13000 block of Alvin Ave",1,5,N/A
2022170,"May 30, 2021",California,"Long Beach","1000 block of Hoffman Ave",0,1,N/A
2019351,"May 28, 2021",Virginia,Richmond,"1200 block of St John St",0,1,N/A
2018436,"May 28, 2021",Missouri,"Saint Louis","1200 block of Josephine Baker Ave",0,3,N/A
2022564,"May 28, 2021",Arizona,"Graham (county)",N/A,0,1,N/A
2017580,"May 27, 2021",Texas,"Fort Worth","3700 block of Seven Gables St",0,2,N/A
2018869,"May 27, 2021",Nebraska,"Grand Island","400 block of W 13th St",0,1,N/A
2016670,"May 25, 2021",California,Oxnard,"1200 block of S N St",0,1,N/A
2015862,"May 25, 2021",Illinois,Chicago,"300 block of E 131st Pl",0,1,N/A
2013582,"May 22, 2021",California,"Imperial Beach","Palm Ave and Delaware St",0,2,N/A
2037507,"May 22, 2021",Delaware,Dover,"1014 S Little Creek Rd",0,1,N/A
2012112,"May 22, 2021",Iowa,Davenport,"Iowa St and E Locust St",0,2,N/A
2012747,"May 22, 2021",Wisconsin,Milwaukee,"W Glendale Ave and N 42nd St",0,1,N/A
2011661,"May 21, 2021","New York",Brooklyn,"689 Washington Ave",0,2,N/A
2013461,"May 21, 2021",Louisiana,Monroe,"Haynie Ave",1,1,N/A
2010267,"May 19, 2021",Ohio,Akron,"900 block of N Firestone Blvd",0,1,N/A
2010322,"May 19, 2021",Georgia,Atlanta,"Donald Lee Hollowell Pkwy",0,1,N/A
2007119,"May 17, 2021","New York",Bronx,"E 174th St and Vyse Ave",0,1,N/A
2186128,"May 17, 2021",Maryland,Baltimore,"Winchester and North Wheeler Ave",0,1,N/A
2005331,"May 15, 2021",Georgia,Atlanta,"2525 Piedmont Rd NE",0,3,N/A
2003727,"May 13, 2021",Illinois,Chicago,"5900 block of S Paulina St",0,1,N/A
2003371,"May 12, 2021",Illinois,Decatur,N/A,0,1,N/A
2002480,"May 11, 2021","New York",Brooklyn,"Dean St and Saratoga Ave",0,1,N/A
2000617,"May 10, 2021",Virginia,"Colonial Heights","2700 block of Martingale Rd",0,1,N/A
1999243,"May 9, 2021",Georgia,Sandersville,"104 E Church St",0,1,N/A
1999149,"May 9, 2021",Florida,"Hollywood (Miramar)","17000 block of SW 31st Ct",0,3,N/A
1998591,"May 8, 2021",Minnesota,"Saint Paul","900 block of Albemarle St",0,1,N/A
2000086,"May 8, 2021",Michigan,"Muskegon (Muskegon Heights)","W Cleveland Ave and Waalkes St",0,1,N/A
1997471,"May 6, 2021","New York",Bronx,"3711 3rd Ave",1,1,N/A
1996812,"May 6, 2021",Illinois,Chicago,"3550 S Rhodes Ave",0,1,N/A
1997573,"May 6, 2021",Florida,Miami,"8000 block of NW Eighth St",0,1,N/A
1998231,"May 6, 2021",Idaho,Rigby,"575 N 4200 E",0,1,N/A
1996409,"May 5, 2021",Texas,Houston,"6403 McKinstry Rd",0,1,N/A
1995811,"May 5, 2021","North Carolina",Burlington,"1524 S Mebane Rd",0,1,N/A
1994935,"May 4, 2021","New York",Buffalo,"Ashley St and Brownell St",0,1,N/A
1994127,"May 2, 2021",Georgia,"Atlanta (Sandy Springs)",N/A,0,1,N/A
1991887,"May 1, 2021",Alabama,Dothan,"200 block of Hill St",0,1,N/A
1991962,"April 30, 2021",Wisconsin,Janesville,"200 block of Linn St",0,1,N/A
1995286,"April 30, 2021",Oklahoma,Perry,N/A,0,1,N/A
1991261,"April 29, 2021","New York",Yonkers,"Ash St and Oak St",0,1,N/A
1988688,"April 27, 2021",Virginia,Richmond,"4000 Midlothian Turnpike",2,3,N/A
1987251,"April 25, 2021",California,Bakersfield,"2000 block of White Lane",0,1,N/A
1984983,"April 23, 2021",Illinois,Chicago,"10207 S Washtenaw Ave",0,1,N/A
1984396,"April 22, 2021",Florida,"Homestead (Leisure City)","SW 297th Terrace and SW 154th Ct",0,1,N/A
1982587,"April 19, 2021",Colorado,Denver,"7475 E Iliff Ave",0,1,N/A
1981462,"April 18, 2021",Tennessee,Chattanooga,"4000 block of Chandler Ave",0,2,N/A
1981020,"April 18, 2021",Pennsylvania,Philadelphia,"2900 block of Amber St",0,2,N/A
1977543,"April 13, 2021",Virginia,Richmond,"Powell Rd",0,1,N/A
1975702,"April 12, 2021",Tennessee,Knoxville,"2800 Martin Luther King Jr Ave",1,1,N/A
1975688,"April 12, 2021","New Jersey",Newark,"14th Ave and S 6th St",0,1,N/A
1977910,"April 6, 2021",Ohio,Columbus,"Wedgewood Dr",0,1,N/A
1969532,"April 5, 2021",California,Fresno,"300 block of W Roy Ave",0,1,N/A
1970717,"April 5, 2021",Indiana,Lafayette,"525 S 31st St",0,1,N/A
1969885,"April 3, 2021",Idaho,"Idaho Falls","1600 S 25th E",0,1,N/A
1966396,"April 1, 2021",Arizona,Phoenix,"67th Ave and McDowell Rd",0,1,N/A
1967044,"April 1, 2021",Texas,"Fort Worth","3200 block of Knox St",0,1,N/A
1964104,"March 28, 2021",Ohio,Columbus,"5200 block of Spencer Ct",0,1,N/A
1963171,"March 27, 2021",Illinois,Chicago,"3300 block of W Ohio St",0,1,N/A
1964110,"March 27, 2021","North Dakota",Minot,N/A,0,1,N/A
1963317,"March 26, 2021",Oklahoma,"Oklahoma City","7700 block of NW 12th St",0,1,N/A
1962435,"March 26, 2021",Kentucky,"Louisville (Shively)","2121 Crums Ln",1,2,N/A
1961701,"March 25, 2021",Mississippi,Jackson,"1300 block of Hair St",0,1,N/A
1958443,"March 22, 2021",Texas,"San Antonio","4740 S Presa St",0,1,N/A
1958485,"March 22, 2021",Illinois,Decatur,"1500 block of N Church St",0,1,N/A
1957972,"March 21, 2021",Iowa,Marion,"1300 block of Seventh St",0,1,N/A
1965419,"March 21, 2021",Texas,Killeen,"3701 South W S Young Dr",1,1,N/A
2180217,"March 20, 2021",Michigan,"Isabella (county)",N/A,0,1,N/A
1957046,"March 19, 2021",Oklahoma,"Oklahoma City","N Woodward Ave and NW 28th St",1,1,N/A
1958720,"March 18, 2021",Tennessee,Nashville,"3430 Doverside Dr",0,1,N/A
1956034,"March 18, 2021","South Carolina",Hartsville,"Bills Cir",0,1,N/A
1956098,"March 18, 2021","North Carolina","Winston Salem (Winston-salem)","730 Ferrell Ct",0,2,N/A
1954304,"March 16, 2021",Georgia,Atlanta,"North Ave",0,1,N/A
1955730,"March 15, 2021",Florida,Clewiston,"700 Harlem Tenants Cir",0,2,N/A
1952662,"March 14, 2021",Illinois,Chicago,"2600 block of E 77th St",0,4,N/A
1952698,"March 14, 2021","North Carolina",Durham,"900 block of E Main St",0,1,N/A
1953511,"March 14, 2021",Tennessee,Memphis,"Monroe Ave and Riverside Dr",0,1,N/A
1949835,"March 10, 2021",Ohio,Columbus,"2004 Maryland Ave",0,1,N/A
1948354,"March 9, 2021",Michigan,Detroit,"Justine St and E Lantz St",0,1,N/A
1944362,"March 3, 2021","District of Columbia",Washington,"4600 block of S Capitol St SW",0,2,N/A
1942954,"March 2, 2021","North Carolina",Nashville,"5900 block of Maggie Rd",0,1,N/A
1942056,"March 1, 2021",Kentucky,Lexington,"Rand Ave",0,1,N/A
1937446,"February 24, 2021",Florida,Miami,"7800 block of SW 35th Terrace",0,1,N/A
1936173,"February 22, 2021",Texas,"San Antonio","1700 block of S Hamilton Ave",0,1,N/A
1937273,"February 22, 2021",Ohio,Toledo,"700 block of Turner Ave",0,1,N/A
1935581,"February 21, 2021",Iowa,"Des Moines","6500 block of SW 9th St",0,1,N/A
1935593,"February 21, 2021",California,Oakland,"2400 block of 94th Ave",0,1,N/A
1937568,"February 21, 2021",Missouri,Joplin,"North St",0,1,N/A
1929152,"February 15, 2021",Georgia,Macon,"Mason St",0,1,N/A
1929792,"February 14, 2021",Louisiana,Folsom,N/A,0,1,N/A
1929024,"February 13, 2021",Missouri,"Saint Louis","2503 N Taylor Ave",1,2,N/A
1928751,"February 13, 2021",Wisconsin,Milwaukee,"4600 block of N 29th St",0,1,N/A
1977088,"February 13, 2021",Louisiana,Napoleonville,N/A,0,1,N/A
1924260,"February 9, 2021",Ohio,Canton,"1500 block of Cherry Ave SE",0,1,N/A
1923921,"February 8, 2021",Arkansas,"El Dorado","301 Hudson St",0,1,N/A
2030788,"February 8, 2021","New York",Bronx,N/A,0,1,N/A
1921752,"February 5, 2021",Washington,Auburn,"5100 block of SE 297th St",0,1,N/A
1922075,"February 5, 2021",Ohio,Columbus,"Lonsdale Rd and Lonsdale Pl N",0,1,N/A
1927368,"February 5, 2021",Indiana,Greentown,"500 W Payton St",0,1,N/A
1924175,"February 5, 2021",Arkansas,"Little Rock","Woodson Rd",0,1,N/A
1918640,"February 1, 2021","New York",Bronx,"Washington Ave and E 180th St",0,1,N/A
1916662,"January 31, 2021",Wisconsin,Appleton,"4301 W Wisconsin Ave",1,1,N/A
1912703,"January 25, 2021","South Dakota","Sioux Falls","600 block of N Cleveland Ave",0,1,N/A
1907183,"January 20, 2021",Virginia,"Virginia Beach","1500 block of Brendle Ct",0,1,N/A
1908132,"January 20, 2021",California,Lompoc,"W Laurel Ave",0,1,N/A
1906220,"January 19, 2021",Tennessee,Nashville,"900 Murfreesboro Pike",0,2,N/A
1907518,"January 19, 2021",Wisconsin,Manitowoc,"1000 block of Hamilton St",0,1,N/A
1906588,"January 19, 2021",Ohio,Cincinnati,"Millvale Ct and Beekman St",0,1,N/A
1900575,"January 11, 2021",Illinois,Chicago,"4300 block of W Jackson Blvd",0,1,N/A
1900085,"January 9, 2021",Nebraska,Alliance,"1500 block of Toluca Ave",0,1,N/A
1898819,"January 9, 2021",Kansas,Wichita,"4900 block of E Harry St",0,2,N/A
1897955,"January 7, 2021",Wisconsin,Milwaukee,"10700 block of W Villard Ave",0,1,N/A
1896973,"January 6, 2021",Louisiana,Alexandria,"200 block of Mary Ln",0,1,N/A
1895894,"January 5, 2021",Texas,Houston,"5803 Bellfort Ave",0,1,N/A
1896514,"January 5, 2021",Maine,"Gardiner (Pittston)",ME-27,0,1,N/A
1895412,"January 4, 2021","North Carolina",Durham,"Main St and Alston Ave",0,1,N/A
1893691,"January 2, 2021",Missouri,"Saint Louis","5700 block of Floy Ave",0,1,N/A
1892804,"January 1, 2021",Texas,Laredo,"Regina Dr",0,1,N/A
1896621,"January 1, 2021",Michigan,"Battle Creek","Harold St",0,1,N/A
1891114,"December 30, 2020",Mississippi,Sturgis,"Oswalt Rd",0,1,N/A
1932173,"December 29, 2020",California,Barstow,"500 block of W Fredrick’s St",0,1,N/A
1888621,"December 25, 2020",Wisconsin,Madison,"2000 block of McKenna Blvd",0,1,N/A
1889212,"December 24, 2020",Wisconsin,Madison,"2000 block of McKenna Blvd",0,1,N/A
1884934,"December 23, 2020",Michigan,Detroit,"Kelly Rd and Morang Ave",0,1,N/A
1884589,"December 23, 2020",Texas,"San Antonio","200 block of Remolino St",1,1,N/A
1882264,"December 20, 2020",Texas,"Fort Worth",N/A,0,1,N/A
1881335,"December 18, 2020",Georgia,Thomasville,"Webster St",0,1,N/A
1878634,"December 15, 2020",Texas,"San Antonio","8622 S Zarzamora St",0,1,N/A
1937203,"December 15, 2020","West Virginia","Mount Hope","Mill Creek Rd",0,1,N/A
1878383,"December 14, 2020",Georgia,Atlanta,"3900 block of Rutgers Dr",0,1,N/A
1878593,"December 13, 2020",Illinois,Rockford,N/A,0,1,N/A
1881343,"December 13, 2020",Wisconsin,Beloit,N/A,0,1,N/A
1890827,"December 12, 2020",Virginia,Winchester,"Berryville Ave",0,2,N/A
1877120,"December 12, 2020",Mississippi,Jackson,"Stirling St",0,1,N/A
1879554,"December 11, 2020",Ohio,Cincinnati,"2000 block of S Teralta Cir",0,1,N/A
1874806,"December 10, 2020",Missouri,"Saint Louis (Ferguson)","5900 block of Laurette Ave",0,1,N/A
1874256,"December 9, 2020",Oklahoma,"Oklahoma City","SE 52nd St",0,1,N/A
1874023,"December 9, 2020",Kansas,Wichita,"1200 block of N Oliver",0,1,N/A
1873563,"December 8, 2020","South Carolina","Holly Hill",N/A,0,2,N/A
1871476,"December 6, 2020",Connecticut,Stamford,"Delaware Ave and W Board St",0,1,N/A
1870677,"December 6, 2020",Wisconsin,Milwaukee,"2800 block of N 76th St",0,1,N/A
1869478,"December 4, 2020",Ohio,Columbus,"300 block of Seemic Cir",0,1,N/A
1870315,"December 4, 2020",Ohio,Madison,"Chapel Rd",0,1,N/A
1870281,"December 4, 2020",Pennsylvania,"Duke Center","Sweitzer Dr",0,2,N/A
1875470,"December 4, 2020",Ohio,Cincinnati,"2000 block of S Teralta Cir",0,1,N/A
1868794,"December 3, 2020",Pennsylvania,"Snow Shoe","Huckleberry Rd",0,1,N/A
1865604,"November 29, 2020",Georgia,Atlanta,"520 Fulton St SW",0,1,N/A
1865157,"November 29, 2020",Georgia,Augusta,"3300 block of Tobin St",0,1,N/A
1866505,"November 28, 2020",Wisconsin,"Green (county)",N/A,0,1,N/A
1864157,"November 28, 2020",Florida,Cocoa,"3751 N Cocoa Blvd",0,2,N/A
1863921,"November 27, 2020",Illinois,Urbana,"1507 E Washington St",0,1,N/A
1863719,"November 27, 2020",Florida,Eustis,"250 Ferran Park Dr",0,1,N/A
1862774,"November 26, 2020",Arizona,Tucson,"S 12th Ave and W Valencia Rd",0,1,N/A
1862956,"November 26, 2020",Illinois,Chicago,"8000 block of S Aberdeen Ave",0,1,N/A
1861379,"November 24, 2020",Texas,Forney,"2100 block of Juniper Dr",1,1,N/A
1861270,"November 23, 2020",Arkansas,Hartford,"Cedar Creek Rd",1,1,N/A
1861083,"November 22, 2020","New York","East Northport (Elwood)",N/A,0,1,N/A
1859848,"November 22, 2020",Colorado,Aurora,"E 12th Ave and Akron St",0,1,N/A
1861859,"November 22, 2020",Michigan,"Battle Creek","100 block of Surby Ave",0,1,N/A
1862542,"November 21, 2020",Wisconsin,"Saint Croix (county)",N/A,0,1,N/A
1862130,"November 21, 2020",Oklahoma,Newkirk,"W Canteen Rd",0,1,N/A
1862123,"November 19, 2020",Kansas,Ulysses,"1500 block of Oklahoma Ave",0,1,N/A
1856446,"November 19, 2020",Florida,Miami,"22200 block of SW 103rd Ave",0,1,N/A
1856352,"November 19, 2020",Pennsylvania,Philadelphia,"500 block of Girard Ave",1,1,N/A
1855389,"November 18, 2020",Wisconsin,"Sun Prairie","2830 Hoepker Rd",0,1,N/A
1855102,"November 17, 2020",Indiana,Evansville,"100 block of Jefferson Ave",0,1,N/A
1854561,"November 17, 2020",Illinois,Chicago,"325 E 47th St",0,1,N/A
1852646,"November 14, 2020",Wisconsin,Milwaukee,"3800 block of N 21st St",0,1,N/A
1852526,"November 14, 2020",Illinois,Chicago,"700 block of East 105th Pl",0,1,N/A
1896404,"November 14, 2020",Virginia,"Colonial Beach",N/A,0,1,N/A
1849788,"November 11, 2020","New York",Bronx,"1704 Seward Ave",0,1,N/A
1846891,"November 7, 2020",Mississippi,"Mount Olive","Rock Hill Rd",0,1,N/A
1844534,"November 5, 2020",Alabama,Birmingham,"800 block of 44th Pl S",0,1,N/A
1844490,"November 5, 2020",Louisiana,"Baton Rouge","7800 block of Nottingham St",0,1,N/A
1842074,"November 3, 2020",Illinois,Chicago,"2600 block of S Drake Ave",0,2,N/A
1842454,"November 3, 2020",Indiana,Evansville,"2800 block of S Ruston Ave",0,1,N/A
1842511,"November 2, 2020",Texas,Houston,"5880 Ranchester Dr",0,1,N/A
1841243,"November 2, 2020",Maryland,Edgewood,"800 block of W Spring Meadow Ct",0,1,N/A
1854489,"November 1, 2020",Iowa,Akron,"13184 Evergreen Ave",0,1,N/A
1840917,"November 1, 2020",Alabama,Clay,"5900 block of Debbie Dr",0,1,N/A
1839849,"October 31, 2020",Texas,Houston,"9550 Long Point Rd",0,1,N/A
1840402,"October 31, 2020","New York",Brooklyn,"721 Willoughby Ave",0,1,N/A
1838391,"October 29, 2020",Virginia,"South Boston","1900 block of Farragut Ave",0,1,N/A
1836664,"October 25, 2020",Illinois,"Tinley Park","8400 block of S Brookpoint Ct",0,1,N/A
1834176,"October 25, 2020",Florida,"Miami (Goulds)","11341 SW 216th St",0,3,N/A
1853987,"October 24, 2020",Florida,Pensacola,"202 E Olive Rd",0,1,N/A
1833465,"October 23, 2020",Texas,Houston,"6700 Wanda Ln",0,1,N/A
1831003,"October 21, 2020",Ohio,Columbus,"879 Greenfield Dr",0,1,N/A
1830344,"October 19, 2020",Pennsylvania,Altoona,"1023 3rd Ave",0,1,N/A
1823860,"October 14, 2020",Texas,Converse,"Bluelake Ridge Dr",0,1,N/A
1823524,"October 13, 2020",Georgia,Augusta,"1900 block of Haynie Dr",0,1,N/A
1820380,"October 11, 2020",Pennsylvania,"New Castle","835 Moravia St",0,1,N/A
1820600,"October 10, 2020",Mississippi,Vicksburg,"Manship St",0,1,N/A
1819961,"October 9, 2020",Georgia,Savannah,N/A,0,2,N/A
1818906,"October 8, 2020",Missouri,"Saint Louis","Riverview Blvd and W Florissant Ave",0,1,N/A
1815593,"October 5, 2020",Texas,Channelview,"15740 East Fwy",0,1,N/A
1814186,"October 4, 2020","North Carolina",Greensboro,"5601 N Church St",0,1,N/A
1815726,"October 4, 2020",Maine,"North Washington",N/A,0,1,N/A
1812836,"October 1, 2020",Mississippi,"West Point","Dunlap Rd and Gallop Rd",0,1,N/A
1810175,"September 29, 2020","South Carolina",Georgetown,"Sabine Dr",0,1,N/A
1809810,"September 29, 2020","South Carolina",Georgetown,"Carnell Loop",0,1,N/A
1807105,"September 27, 2020",Virginia,Norfolk,N/A,0,1,N/A
1809689,"September 27, 2020",California,Stockton,"7000 block of Tristan Circle",0,1,N/A
1806751,"September 26, 2020",Michigan,Roseville,"1700 block of Ivanhoe St",0,1,N/A
